ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,IPQ1,16,16,4.875,0.806225774829855,5.0,3.0,6.0,-0.6269887682531416,0.7542753104883286,4.4453926096551735,5.3046073903448265,0.012000552378594875
High,IPQ2,16,16,6.1875,0.75,6.0,5.0,7.0,-0.3343915343915344,-1.004151404151404,5.7878532102076266,6.5871467897923734,0.003576550865545869
High,IPQ3,16,16,6.1875,0.6551081335677849,6.0,5.0,7.0,-0.19689500210377928,-0.3726464882087468,5.838417516603682,6.536582483396318,0.0022407248616218567
High,IPQ4,16,16,5.5,1.2110601416389966,5.5,3.0,7.0,-0.38605222933002264,-0.46657887566978484,4.854671602864638,6.145328397135362,0.12176726758480072
High,IPQ5,16,16,6.25,0.6831300510639732,6.0,5.0,7.0,-0.3584939043484408,-0.5920610002242657,5.885985690775445,6.614014309224555,0.0024320431984961033
High,IPQ6,16,16,6.25,0.5773502691896257,6.0,5.0,7.0,0.0,-0.0659340659340657,5.942351757776805,6.557648242223195,0.0005622043972834945
High,IPQ_mean,16,16,5.875,0.5494104584478273,5.833333333333333,5.166666666666667,6.833333333333333,0.4243254396984991,-1.0464976327447628,5.5822398320039595,6.1677601679960405,0.2056126892566681
Low,IPQ1,8,8,5.125,0.6408699444616557,5.0,4.0,6.0,-0.06784256500917338,0.7410207939508506,4.589219318518365,5.660780681481635,0.03697037696838379
Low,IPQ2,8,8,5.625,0.9161253813129043,6.0,4.0,7.0,-0.4877154587704733,0.4208239022181979,4.859100014575081,6.390899985424919,0.32409632205963135
Low,IPQ3,8,8,5.625,1.0606601717798212,5.5,4.0,7.0,0.04489566864676491,-0.9396825396825399,4.738265905871138,6.511734094128862,0.3656892776489258
Low,IPQ4,8,8,5.25,1.2817398889233114,5.5,3.0,7.0,-0.6105830850825605,-0.0211720226843104,4.178438637036731,6.321561362963269,0.5919957160949707
Low,IPQ5,8,8,5.375,0.7440238091428449,5.5,4.0,6.0,-0.8237682964911415,-0.15150884495317385,4.752980529519174,5.997019470480826,0.02696797251701355
Low,IPQ6,8,8,5.625,1.0606601717798212,5.5,4.0,7.0,0.04489566864676491,-0.9396825396825399,4.738265905871138,6.511734094128862,0.3656892776489258
Low,IPQ_mean,8,8,5.4375,0.5629958132298017,5.583333333333334,4.5,6.166666666666667,-0.4285331852925076,-0.6885053671008858,4.966823721465896,5.908176278534104,0.698836624622345
