Complexity,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
0,S1,24,144,5.875,0.8918825850158447,6.0,3.0,7.0,-0.7702969040980239,0.6099689086118301,5.728085221061726,6.021914778938274,6.9969169347317e-11
0,S2,24,144,6.1875,0.7569607060406177,6.0,4.0,7.0,-0.8181393234880966,0.6469777065690749,6.062810139853284,6.312189860146716,6.579577377721635e-13
0,S3,24,144,6.055555555555555,0.9219755148803306,6.0,3.0,7.0,-0.9798149006106465,0.8097252257366123,5.903683738310981,6.2074273728001295,6.852953534502992e-12
0,S4,24,144,5.909722222222222,1.037163927838321,6.0,2.0,7.0,-0.9612618491513428,0.848828665015334,5.738876068545602,6.080568375898842,5.7337835868143117e-11
0,S5,24,144,7.208333333333333,1.3734495390671029,7.0,3.0,9.0,-0.4486089143154865,-0.39547742388851415,6.982092750991059,7.434573915675607,1.2581266162214888e-07
1,S1,24,144,4.763888888888889,1.4483465910160618,5.0,1.0,7.0,-0.2792156490646978,-0.5610891808592084,4.525310938360405,5.002466839417374,3.4116940241801785e-06
1,S2,24,144,4.756944444444445,1.4350581858907319,5.0,2.0,7.0,-0.1252512147166714,-0.9328587127910541,4.520555417810461,4.9933334710784285,1.4923025446478277e-06
1,S3,24,144,4.486111111111111,1.5865964412188338,5.0,1.0,7.0,-0.2725519199482982,-0.6125918018460896,4.22476004389437,4.747462178327852,1.2879886526206974e-05
1,S4,24,144,4.590277777777778,1.6531943837769565,5.0,1.0,7.0,-0.3401220646837175,-0.675775507941395,4.31795640777337,4.862599147782185,4.463219738681801e-06
1,S5,24,144,5.875,1.7852347008343012,6.0,2.0,9.0,-0.03341869294495215,-0.6904945564396012,5.580928374617443,6.169071625382557,0.00017352428403683007
