ExperienceGroup,WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,15,B1,22,44,5.113636363636363,1.4501950003747945,5.0,1.0,7.0,-1.0695855386459425,0.7015814816321839,4.672736786188624,5.554535941084103,6.68333304929547e-05
High,15,B2,22,44,4.681818181818182,1.596110494408018,5.0,2.0,7.0,-0.4554640527105064,-0.9541127562630765,4.196556239553504,5.167080124082859,0.0006345548899844289
High,15,B3,22,44,3.8863636363636362,1.728232180392614,4.0,1.0,7.0,0.013442810497670805,-0.7743080987658173,3.360933030224628,4.411794242502645,0.04041591286659241
High,15,Bmean,22,44,4.5606060606060606,1.393548678275038,4.666666666666667,1.3333333333333333,6.666666666666667,-0.4451952492033294,-0.5244520753036763,4.1369285391378945,4.984283582074227,0.0692344531416893
High,45,B1,22,44,5.113636363636363,1.4501950003747945,5.0,1.0,7.0,-1.0695855386459425,0.7015814816321839,4.672736786188624,5.554535941084103,6.68333304929547e-05
High,45,B2,22,44,4.681818181818182,1.596110494408018,5.0,2.0,7.0,-0.4554640527105064,-0.9541127562630765,4.196556239553504,5.167080124082859,0.0006345548899844289
High,45,B3,22,44,3.8863636363636362,1.728232180392614,4.0,1.0,7.0,0.013442810497670805,-0.7743080987658173,3.360933030224628,4.411794242502645,0.04041591286659241
High,45,Bmean,22,44,4.5606060606060606,1.393548678275038,4.666666666666667,1.3333333333333333,6.666666666666667,-0.4451952492033294,-0.5244520753036763,4.1369285391378945,4.984283582074227,0.0692344531416893
High,75,B1,22,44,5.113636363636363,1.4501950003747945,5.0,1.0,7.0,-1.0695855386459425,0.7015814816321839,4.672736786188624,5.554535941084103,6.68333304929547e-05
High,75,B2,22,44,4.681818181818182,1.596110494408018,5.0,2.0,7.0,-0.4554640527105064,-0.9541127562630765,4.196556239553504,5.167080124082859,0.0006345548899844289
High,75,B3,22,44,3.8863636363636362,1.728232180392614,4.0,1.0,7.0,0.013442810497670805,-0.7743080987658173,3.360933030224628,4.411794242502645,0.04041591286659241
High,75,Bmean,22,44,4.5606060606060606,1.393548678275038,4.666666666666667,1.3333333333333333,6.666666666666667,-0.4451952492033294,-0.5244520753036763,4.1369285391378945,4.984283582074227,0.0692344531416893
Low,15,B1,10,20,4.45,1.3562719801759993,5.0,2.0,7.0,-0.2345203933239388,-0.4280721295867904,3.815245174253975,5.0847548257460256,0.23942092061042786
Low,15,B2,10,20,4.0,1.5894388284780525,4.0,1.0,7.0,0.08738234300081885,-0.6868872549019605,3.256119730149088,4.743880269850912,0.4321509599685669
Low,15,B3,10,20,4.1,2.0235456115702615,3.5,1.0,7.0,0.31505696240836006,-1.3872509174432575,3.1529515017373315,5.047048498262668,0.017977796494960785
Low,15,Bmean,10,20,4.183333333333334,1.5312533566021214,4.166666666666666,1.6666666666666667,7.0,0.036258477647631925,-0.8585161578882112,3.466684702564698,4.899981964101969,0.7873515486717224
Low,45,B1,10,20,4.45,1.3562719801759993,5.0,2.0,7.0,-0.2345203933239388,-0.4280721295867904,3.815245174253975,5.0847548257460256,0.23942092061042786
Low,45,B2,10,20,4.0,1.5894388284780525,4.0,1.0,7.0,0.08738234300081885,-0.6868872549019605,3.256119730149088,4.743880269850912,0.4321509599685669
Low,45,B3,10,20,4.1,2.0235456115702615,3.5,1.0,7.0,0.31505696240836006,-1.3872509174432575,3.1529515017373315,5.047048498262668,0.017977796494960785
Low,45,Bmean,10,20,4.183333333333334,1.5312533566021214,4.166666666666666,1.6666666666666667,7.0,0.036258477647631925,-0.8585161578882112,3.466684702564698,4.899981964101969,0.7873515486717224
Low,75,B1,10,20,4.45,1.3562719801759993,5.0,2.0,7.0,-0.2345203933239388,-0.4280721295867904,3.815245174253975,5.0847548257460256,0.23942092061042786
Low,75,B2,10,20,4.0,1.5894388284780525,4.0,1.0,7.0,0.08738234300081885,-0.6868872549019605,3.256119730149088,4.743880269850912,0.4321509599685669
Low,75,B3,10,20,4.1,2.0235456115702615,3.5,1.0,7.0,0.31505696240836006,-1.3872509174432575,3.1529515017373315,5.047048498262668,0.017977796494960785
Low,75,Bmean,10,20,4.183333333333334,1.5312533566021214,4.166666666666666,1.6666666666666667,7.0,0.036258477647631925,-0.8585161578882112,3.466684702564698,4.899981964101969,0.7873515486717224
