ExperienceGroup,Complexity,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,0,S1,22,132,5.7727272727272725,0.870122471777245,6.0,3.0,7.0,-0.7391977282840184,0.6913113986512682,5.622906484495391,5.922548060959154,2.430602386027658e-10
High,0,S2,22,132,6.151515151515151,0.7861865490104842,6.0,4.0,7.0,-0.7538913222271496,0.30667157525062194,6.016146749605624,6.286883553424679,8.998732314857705e-12
High,0,S3,22,132,6.0,0.9650376728002198,6.0,3.0,7.0,-0.8279378052084297,0.26549045474628086,5.8338363741864105,6.1661636258135895,1.2487658129778367e-10
High,0,S4,22,132,5.962121212121212,1.0144400405556206,6.0,2.0,7.0,-1.1261329575746042,1.4792110253165616,5.787451310561729,6.136791113680695,4.61460973599781e-11
High,0,S5,22,132,7.348484848484849,1.2780283507878594,7.0,3.0,9.0,-0.5023166175170811,-0.13227066822784694,7.128429372263626,7.568540324706071,1.665022466568189e-07
High,1,S1,22,132,4.71969696969697,1.3831835937562853,5.0,2.0,7.0,-0.22066197128868115,-0.6387634802407174,4.481535488977247,4.957858450416692,2.920468205047655e-06
High,1,S2,22,132,4.643939393939394,1.3931817379931057,5.0,2.0,7.0,-0.19904234300829252,-0.8796246704397879,4.404056397112453,4.883822390766334,2.635842747622519e-06
High,1,S3,22,132,4.446969696969697,1.564464125211798,5.0,1.0,7.0,-0.3374840530937268,-0.6801040590149121,4.17759468827582,4.716344705663574,6.3879438130243216e-06
High,1,S4,22,132,4.598484848484849,1.6708540965573326,5.0,1.0,7.0,-0.2591029564811118,-0.8599518982451224,4.3107912353600355,4.886178461609662,7.810595889168326e-06
High,1,S5,22,132,5.787878787878788,1.8535309939412425,6.0,2.0,9.0,-0.10752437281052636,-0.7657530925106744,5.468731215517742,6.107026360239834,0.00017265563656110317
Low,0,S1,10,60,5.883333333333334,0.9404590777041594,6.0,4.0,7.0,-0.139976764635775,-1.2008257062591805,5.640386992157889,6.126279674508779,1.3746235936196172e-06
Low,0,S2,10,60,6.1,0.7961773075670685,6.0,4.0,7.0,-0.6003238498513279,-0.04590064967576568,5.8943255922708175,6.305674407729182,7.625075681971794e-07
Low,0,S3,10,60,5.883333333333334,0.9036961141150639,6.0,4.0,7.0,-0.6186631464960246,-0.20746454232153022,5.64988387267771,6.116782793988958,1.753587753228203e-06
Low,0,S4,10,60,5.816666666666666,0.9827610131865981,6.0,4.0,7.0,-0.2824354407629026,-0.9817167955756578,5.562792576805775,6.070540756527558,7.4373933784954716e-06
Low,0,S5,10,60,6.95,1.4311900938539792,7.0,4.0,9.0,-0.12479513913399588,-0.8196948541964968,6.580284395066744,7.319715604933257,0.000349153095157817
Low,1,S1,10,60,4.5,1.420193350407744,5.0,1.0,7.0,0.0,-0.2817556615899264,4.133125155125788,4.866874844874212,0.005071423947811127
Low,1,S2,10,60,4.516666666666667,1.4670582425403742,4.0,2.0,7.0,0.26599270639044803,-0.7593532073275231,4.13768533641406,4.895647996919274,0.0007633998757228255
Low,1,S3,10,60,4.233333333333333,1.511163730113001,4.0,1.0,7.0,0.16728428194769032,-0.5570474360065107,3.8429583474868148,4.623708319179852,0.008319016546010971
Low,1,S4,10,60,4.183333333333334,1.4437670438253387,4.0,1.0,7.0,0.05237363599623274,-0.31919153518215904,3.8103687577099885,4.556297908956679,0.017324645072221756
Low,1,S5,10,60,5.266666666666667,1.6246685885431744,5.0,2.0,9.0,0.2382666814258334,0.027484083596958087,4.8469702667203824,5.686363066612951,0.017328578978776932
